,登録名,チーム2018,WHIP2018,WHIP2017,WHIP2016,WHIP2015,WHIP2014,WHIP2013,WHIP2012,WHIP2011,WHIP2010,WHIP2009
833,林　昌範,,,,,1.71,1.48,1.08,1.15,3.25,0.95,1.30
834,スパイアー,,,,,,,,,1.23,,
835,クルーン,,,,,,,,,,1.26,1.10
836,川上　憲伸,,,,,,1.56,1.39,1.22,,,
840,アッチソン,,,,,,,,,,,0.89
842,福田　聡志,,,,,,2.07,1.94,0.94,1.58,1.20,1.32
843,コーディエ,,,,2.11,,,,,,,
844,ミゲル・メヒア,,,,,3.55,,,,,,
845,陽　耀勲,,,,,,,,0.98,,1.56,1.86
846,ビロウ,,,,,5.25,,,,,,
847,川原　弘之,,,,,,,1.00,0.33,,,
848,福盛　和男,,,,,,,,,,7.00,1.21
850,バルデス,,,1.27,1.28,1.25,,,,,1.52,
851,清水　昭信,,,,,,,1.50,,,1.31,1.93
852,許　銘傑,,,,,,,,,,1.48,1.56
853,スタルツ,,,,,,,,,,1.57,
854,ボーグルソン,,,,,,,,,,,1.32
855,加藤　武治,,,,,,,,,,1.25,1.82
856,鈴木　優,,,,6.0,6.00,,,,,,
859,仁藤　拓馬,,,,,,,,,,,3.00
861,ホールトン,,,,,,,1.13,1.01,0.97,1.54,1.05
863,安部　建輝,,,,,1.29,1.93,3.00,,,,
865,ミルズ,,,,,,,3.00,,,,
866,小野　淳平,,,,1.36,,1.50,1.47,1.18,1.56,,
869,正田　樹,,,,,,,1.09,1.42,,,
871,阿部　健太,,,,,,2.30,1.20,1.20,,,1.58
872,松本　幸大,,,,,,,2.75,2.57,,2.23,4.88
873,岡島　秀樹,,,,,1.91,1.08,,0.84,,,
874,藤原　良平,,,1.46,1.08,1.59,1.61,2.00,4.71,1.3,,
878,秋親,,,,,,,,,,1.63,
880,バース,,,,1.44,,,,,,,
881,弦本　悠希,,,,,,,,,2.25,,
885,大塚　豊,,,,,1.33,1.60,1.55,,2.45,,
886,アラウホ,,,1.44,,,,,,,,
887,藤田　太陽,,,,,,,1.02,2.73,1.43,1.09,
888,木下　達生,,,,,,,,,2.0,,
889,戸田　亮,,,,,,,2.06,,,,
890,ファンミル,,,,,,1.62,,,,,
892,川井　雄太,,,,,,,,,1.19,1.40,1.32
893,松永　浩典,,,,,,,,1.25,0.95,2.18,1.55
894,神内　靖,,,,,,,1.90,1.05,2.4,1.44,1.38
895,シュリッター,,,1.37,,,,,,,,
897,安樂　智大,,,1.51,1.2,1.17,,,,,,
898,篠田　純平,,,,,,1.45,2.60,1.81,1.3,1.50,0.93
899,フェルナンデス,,,,,,,,1.89,,,
901,桜井　俊貴,,,1.59,2.31,,,,,,,
902,福地　元春,,,,2.55,1.79,,,,,,
904,久保　康友,,,1.62,1.35,1.28,1.32,1.21,1.15,1.31,1.13,1.26
905,オスカル,,,0.60,1.72,,,,,,,
