,登録名,チーム2018,WHIP2018,WHIP2017,WHIP2016,WHIP2015,WHIP2014,WHIP2013,WHIP2012,WHIP2011,WHIP2010,WHIP2009
604,バリオス,DeNA,1.29,,1.97,1.56,1.88,,,,,
387,岩本　輝,オリックス,1.29,,,1.64,1.36,1.75,1.18,,,
256,中澤　雅人,ヤクルト,1.29,1.25,1.13,1.58,1.30,2.65,1.33,3.5,1.58,
224,浅尾　拓也,中日,1.29,2.67,,1.55,1.53,1.30,1.00,0.82,0.87,1.16
795,マーティン,西武,1.29,0.72,0.63,,,,,,,
764,三上　朋也,DeNA,1.30,1.24,1.11,1.12,1.25,,,,,
339,ヤングマン,巨人,1.31,,,,,,,,,
442,山岡　泰輔,オリックス,1.31,1.27,,,,,,,,
313,青柳　晃洋,阪神,1.31,1.26,1.19,,,,,,,
46,ドリス,阪神,1.31,1.11,1.03,,,,,,,
541,増井　浩俊,オリックス,1.32,1.10,1.2,1.05,1.22,1.38,1.26,1.06,1.55,
595,福谷　浩司,中日,1.32,1.65,1.35,1.45,1.07,2.05,,,,
882,モイネロ,ソフトバンク,1.32,0.98,,,,,,,,
459,吉川　光夫,巨人,1.32,1.72,1.61,1.31,1.60,1.29,0.88,1.71,1.77,1.78
634,金子　千尋,オリックス,1.32,1.17,1.25,1.11,1.04,1.00,1.26,1.06,1.12,1.07
674,小野　郁,楽天,1.33,1.00,2.18,2.80,,,,,,
668,石崎　剛,阪神,1.33,1.01,1.22,1.76,,,,,,
758,風張　蓮,ヤクルト,1.33,1.00,2.3,0.00,,,,,,
50,堀　瑞輝,日本ハム,1.33,1.13,,,,,,,,
645,藤嶋　健人,中日,1.33,,,,,,,,,
862,望月　惇志,阪神,1.33,,1.0,,,,,,,
202,十亀　剣,西武,1.33,1.38,1.63,1.30,1.41,1.23,1.26,,,
744,トンキン,日本ハム,1.33,,,,,,,,,
413,野村　祐輔,広島,1.34,1.22,1.15,1.52,1.44,1.20,1.13,,,
166,砂田　毅樹,DeNA,1.34,1.23,1.57,1.49,,,,,,
65,辛島　航,楽天,1.34,1.22,1.31,1.34,1.33,1.39,1.05,,1.58,2.20
671,濱矢　廣大,楽天,1.34,2.19,2.28,2.80,2.40,,,,,
529,岡田　明丈,広島,1.35,1.39,1.28,,,,,,,
23,秋吉　亮,ヤクルト,1.35,1.14,0.93,1.03,1.00,,,,,
119,エスコバー,DeNA,1.35,,,,,,,,,
662,涌井　秀章,ロッテ,1.35,1.32,1.29,1.25,1.34,1.28,1.40,1.26,1.25,1.12
536,武藤　祐太,DeNA,1.35,,2.25,1.57,1.08,1.41,1.03,1.38,,
672,内海　哲也,巨人,1.36,1.46,1.17,1.54,1.21,1.27,1.15,1.08,1.35,1.10
749,西宮　悠介,楽天,1.36,1.07,1.44,2.14,1.45,,,,,
581,岡本　健,ソフトバンク,1.36,1.69,1.29,,,,,,,
547,ブキャナン,ヤクルト,1.37,1.34,,,,,,,,
542,近藤　一樹,ヤクルト,1.37,1.19,,1.51,1.57,1.75,1.50,1.62,1.40,1.54
884,菅原　秀,楽天,1.37,1.74,,,,,,,,
436,パットン,DeNA,1.38,1.15,,,,,,,,
194,ウルキデス,ヤクルト,1.38,,,,,,,,,
891,才木　浩人,阪神,1.38,1.88,,,,,,,,
453,髙橋　遥人,阪神,1.38,,,,,,,,,
185,野上　亮磨,巨人,1.38,1.06,1.45,1.29,1.37,1.19,1.42,1.85,1.68,1.46
321,永川　勝浩,広島,1.38,,1.6,1.56,1.15,0.96,,1.46,1.94,1.32
133,アドゥワ　誠,広島,1.39,,,,,,,,,
677,有吉　優樹,ロッテ,1.40,1.16,,,,,,,,
599,松井　裕樹,楽天,1.40,1.08,1.4,0.90,1.36,,,,,
102,鈴木　博志,中日,1.41,,,,,,,,,
548,高野　圭佑,ロッテ,1.41,2.34,1.96,,,,,,,
718,祖父江　大輔,中日,1.41,1.31,1.16,1.17,1.21,,,,,
235,美馬　学,楽天,1.41,1.10,1.37,1.42,1.50,1.52,1.15,0.87,,
616,カスティーヨ,西武,1.41,,,,,,,,,
710,ハフ,ヤクルト,1.42,,,,,,,,,
409,加藤　貴之,日本ハム,1.42,1.36,1.34,,,,,,,
176,齊藤　大将,西武,1.42,,,,,,,,,
793,カラシティー,ヤクルト,1.43,,,,,,,,,
228,野田　昇吾,西武,1.43,0.99,1.42,,,,,,,
870,西村　天裕,日本ハム,1.43,,,,,,,,,
475,加治屋　蓮,ソフトバンク,1.43,2.08,2.0,,,,,,,
430,石田　健大,DeNA,1.43,1.17,1.07,1.30,,,,,,
864,鍵谷　陽平,日本ハム,1.44,0.88,1.3,1.64,1.22,1.37,,,,
52,古野　正人,ヤクルト,1.44,,1.95,1.56,1.75,1.58,,,,
31,笠原　祥太郎,中日,1.44,1.21,,,,,,,,
682,井納　翔一,DeNA,1.44,1.27,1.34,1.51,1.33,1.52,,,,
138,小笠原　慎之介,中日,1.44,1.49,1.33,,,,,,,
724,鍬原　拓也,巨人,1.45,,,,,,,,,
353,伊藤　和雄,阪神,1.45,1.34,1.64,,1.60,,2.50,,,
875,土肥　星也,ロッテ,1.45,1.91,,,,,,,,
206,岡本　洋介,阪神,1.45,1.38,3.0,1.20,1.52,1.38,2.67,,2.07,
240,加賀　繁,DeNA,1.45,1.37,1.5,1.75,1.17,1.47,1.02,1.17,1.33,
482,中田　賢一,ソフトバンク,1.46,1.41,1.26,1.26,1.41,1.33,1.09,1.09,1.19,1.26
867,小石　博孝,西武,1.46,2.03,1.35,1.00,1.31,2.05,1.48,,,
450,石川　雅規,ヤクルト,1.46,1.44,1.36,1.21,1.39,1.23,1.25,1.18,1.27,1.16
717,ジャクソン,広島,1.46,1.00,1.01,,,,,,,
467,尾仲　祐哉,阪神,1.46,1.91,,,,,,,,
503,中﨑　翔太,広島,1.46,0.92,1.13,,,,,,,
120,種市　篤暉,ロッテ,1.47,,,,,,,,,
80,高橋　礼,ソフトバンク,1.47,,,,,,,,,
451,チェン・グァンユウ,ロッテ,1.48,1.40,1.42,1.37,,,,,,
405,九里　亜蓮,広島,1.48,1.33,1.45,1.63,1.49,,,,,
397,古川　侑利,楽天,1.49,1.27,1.43,,3.00,,,,,
411,森原　康平,楽天,1.50,1.40,,,,,,,,
342,山中　浩史,ヤクルト,1.50,1.43,1.14,1.22,,1.88,,,,
76,松坂　大輔,中日,1.51,,5.0,,,,,,,
896,近藤　弘樹,楽天,1.52,,,,,,,,,
260,岩崎　優,阪神,1.52,1.26,1.35,1.21,1.23,,,,,
78,ウィーランド,DeNA,1.52,1.14,,,,,,,,
269,酒居　知史,ロッテ,1.53,1.27,,,,,,,,
562,福井　優也,広島,1.53,1.73,1.49,1.21,1.45,2.03,1.52,1.37,,
486,ローチ,オリックス,1.54,,,,,,,,,
883,柳　裕也,中日,1.54,1.07,,,,,,,,
553,ウルフ,西武,1.54,1.34,1.27,2.44,1.23,1.28,1.31,1.31,1.27,
732,攝津　正,ソフトバンク,1.55,1.46,1.49,1.31,1.28,1.11,1.04,1.01,0.89,1.08
839,飯田　哲矢,広島,1.55,2.86,1.2,1.29,,,,,,
350,今村　猛,広島,1.56,1.24,1.11,1.42,1.26,1.50,1.06,1.35,3.25,
676,澤村　拓一,巨人,1.56,,1.27,1.16,1.14,1.14,1.33,0.97,,
549,木下　雄介,中日,1.56,,,,,,,,,
393,由規,ヤクルト,1.57,1.49,1.79,,,,,1.24,1.38,1.37
678,中川　皓太,巨人,1.57,1.28,2.5,,,,,,,
309,髙橋　光成,西武,1.58,1.42,1.57,,,,,,,
263,藤平　尚真,楽天,1.58,1.04,,,,,,,,
7,中尾　輝,ヤクルト,1.59,2.75,,,,,,,,
359,今野　龍太,楽天,1.60,,,2.10,1.69,,,,,
385,濵口　遥大,DeNA,1.60,1.50,,,,,,,,
63,平田　真吾,DeNA,1.60,1.35,3.0,1.34,1.08,,,,,
79,松葉　貴大,オリックス,1.60,1.24,1.27,1.60,1.23,1.37,,,,
513,大谷　智久,ロッテ,1.61,1.17,1.34,0.97,0.91,1.57,1.26,1.22,1.73,
81,二保　旭,ソフトバンク,1.61,,,1.41,,1.89,,,,
787,山﨑　福也,オリックス,1.62,1.60,1.27,,,,,,,
67,シェッパーズ,ロッテ,1.62,,,,,,,,,
415,飯塚　悟史,DeNA,1.62,1.48,,,,,,,,
477,田口　麗斗,巨人,1.63,1.22,1.23,1.21,,,,,,
295,松本　直晃,西武,1.63,,1.88,,,,,,,
152,ワグナー,西武,1.63,,,,,,,,,
838,小野　泰己,阪神,1.64,1.50,,,,,,,,
614,山本　哲哉,ヤクルト,1.64,1.62,,1.27,1.58,1.24,1.25,1.5,,
179,南　昌輝,ロッテ,1.64,1.75,1.07,,1.46,1.88,1.36,,,
40,モレノ,阪神,1.65,,,,,,,,,
481,平良　拳太郎,DeNA,1.66,2.14,1.91,,,,,,,
296,中村　祐太,広島,1.66,1.26,,,,,,,,
192,今永　昇太,DeNA,1.66,1.13,1.08,,,,,,,
460,田島　慎二,中日,1.67,1.04,1.27,1.24,1.49,1.52,0.95,,,
60,大竹　寛,巨人,1.67,1.35,1.32,1.20,1.25,1.23,1.29,1.11,1.78,1.28
402,松田　遼馬,ソフトバンク,1.67,1.51,0.85,1.63,1.07,1.35,,,,
257,アダメス,巨人,1.67,,,,,,,,,
827,星　知弥,ヤクルト,1.67,1.50,,,,,,,,
543,渡邉　啓太,ロッテ,1.68,,,,,,,,,
560,大山　暁史,オリックス,1.69,1.23,2.54,,0.00,,,,,
751,スアレス,ソフトバンク,1.71,,1.25,,,,,,,
860,武隈　祥太,西武,1.71,1.10,1.28,1.59,1.25,1.17,1.45,0.5,1.47,1.64
868,又吉　克樹,中日,1.71,1.09,1.37,1.20,0.96,,,,,
59,谷岡　竜平,巨人,1.71,3.33,,,,,,,,
837,宮台　康平,日本ハム,1.71,,,,,,,,,
55,松岡　健一,ヤクルト,1.71,1.26,1.54,1.25,1.41,1.50,1.58,0.98,1.05,1.45
741,髙橋　聡文,阪神,1.73,0.90,1.28,,,,,,,
900,池田　駿,巨人,1.73,1.22,,,,,,,,
209,高橋　樹也,広島,1.75,1.71,,,,,,,,
742,藤井　皓哉,広島,1.75,0.00,,,,,,,,
230,田中　正義,ソフトバンク,1.76,,,,,,,,,
653,伊藤　準規,中日,1.76,1.47,1.6,1.89,1.84,,0.83,1.52,1.29,0.00
149,カミネロ,巨人,1.77,1.25,,,,,,,,
473,国吉　佑樹,DeNA,1.77,1.13,4.2,1.14,1.35,1.71,1.48,,,
723,五十嵐　亮太,ソフトバンク,1.77,0.98,1.35,0.88,0.86,1.05,,,,1.16
246,中後　悠平,DeNA,1.77,,,,2.00,6.00,1.67,,,
903,大石　達也,西武,1.78,1.09,1.07,1.20,,1.50,1.42,,,
291,岩下　大輝,ロッテ,1.78,,,,,,,,,
810,京山　将弥,DeNA,1.80,,,,,,,,,
39,増田　達至,西武,1.82,0.96,1.21,1.07,1.07,1.50,,,,
244,森　雄大,楽天,1.82,1.56,,1.47,1.81,,,,,
857,高木　勇人,西武,1.83,0.91,1.34,1.16,,,,,,
362,馬場　皐輔,阪神,1.85,,,,,,,,,
111,大野　雄大,中日,1.87,1.31,1.26,1.04,1.23,1.33,1.21,2.5,,
665,寺原　隼人,ソフトバンク,1.88,1.49,1.73,1.08,1.34,1.37,1.44,1.2,,1.35
115,海田　智行,オリックス,1.88,1.41,1.15,1.28,1.58,1.33,1.47,,,
177,藤浪　晋太郎,阪神,1.89,1.66,1.31,1.23,1.31,1.18,,,,
329,谷川　昌希,阪神,1.89,,,,,,,,,
803,池田　隆英,楽天,1.90,,,,,,,,,
20,篠原　慎平,巨人,1.90,1.43,,,,,,,,
498,白村　明弘,日本ハム,1.93,1.14,1.42,1.06,1.36,,,,,
545,福山　博之,楽天,1.97,1.06,1.21,1.41,1.11,1.27,2.00,1.28,,
571,島本　浩也,阪神,2.00,,1.34,2.13,,,,,,
112,笠原　大芽,ソフトバンク,2.00,1.08,,,,,,,,
48,カンポス,広島,2.00,,,,,,,,,
372,梅野　雄吾,ヤクルト,2.00,1.75,,,,,,,,
832,阿部　和成,ロッテ,2.00,2.00,1.9,1.70,,1.64,1.21,2.88,,
42,館山　昌平,ヤクルト,2.00,2.17,1.98,1.28,,1.44,1.10,0.97,1.16,1.27
114,沼田　拓巳,ヤクルト,2.00,,,,,,,,,
386,西野　勇士,ロッテ,2.00,1.69,1.16,1.04,0.83,1.29,,,,
468,森福　允彦,巨人,2.00,1.45,0.93,1.65,0.97,0.90,0.98,0.86,0.90,1.36
531,マテオ,阪神,2.05,1.12,1.16,,,,,,,
802,佐野　泰雄,西武,2.07,1.69,1.35,2.20,,,,,,
19,田中　豊樹,日本ハム,2.09,1.42,1.5,,,,,,,
679,戸田　隆矢,広島,2.12,1.50,1.23,1.42,1.42,3.46,2.00,,,
754,三ツ間　卓也,中日,2.12,1.65,,,,,,,,
306,岡田　俊哉,中日,2.13,1.43,1.24,0.92,1.35,1.20,,,,
527,オルモス,ロッテ,2.14,,,,,,,,,
170,吉田　侑樹,日本ハム,2.18,1.69,,,,,,,,
53,高橋　昂也,広島,2.19,,,,,,,,,
128,釜田　佳直,楽天,2.21,1.53,1.54,1.85,,2.34,1.46,,,
554,笠谷　俊介,ソフトバンク,2.22,0.60,,,,,,,,
311,薮田　和樹,広島,2.25,1.19,1.39,1.80,,,,,,
145,豊田　拓矢,西武,2.25,,1.67,1.36,1.46,,,,,
327,金田　和之,オリックス,2.27,1.33,1.67,2.59,1.36,,,,,
376,藤岡　貴裕,日本ハム,2.31,3.00,1.23,1.30,1.45,1.37,1.42,,,
86,中村　恭平,広島,2.37,,1.69,2.40,,1.53,1.38,1.43,,
304,青山　大紀,オリックス,2.40,2.25,1.5,,,,,,,
421,高木　京介,巨人,2.40,,,1.07,1.16,1.34,0.83,,,
646,山田　大樹,ヤクルト,2.47,1.50,1.83,,2.20,1.75,1.25,1.09,1.57,
733,斎藤　佑樹,日本ハム,2.48,1.57,1.56,1.56,1.69,2.50,1.67,1.47,,
777,清水　達也,中日,2.50,,,,,,,,,
485,新垣　勇人,日本ハム,2.50,1.00,1.29,1.36,2.25,2.31,,,,
654,守屋　功輝,阪神,2.57,-,2.4,,,,,,,
561,谷元　圭介,中日,2.59,,1.13,1.22,0.88,1.46,1.26,1.42,1.40,1.63
655,山本　翔也,阪神,2.67,1.70,1.2,1.31,3.00,,,,,
146,長井　良太,広島,2.70,,,,,,,,,
557,中田　廉,広島,2.71,1.22,2.08,1.40,1.31,1.38,1.44,1.86,1.36,
5,Ｋ－鈴木,オリックス,2.73,,,,,,,,,
