,登録名,チーム2018,勝利2018,勝利2017,勝利2016,勝利2015,勝利2014,勝利2013,勝利2012,勝利2011,勝利2010,勝利2009
829,レイノルズ,,,,,,3.0,,,,,
830,七條　祐樹,,,,,,2.0,0.0,2.0,4.0,,
831,相沢　晋,,,,,0.0,,,,,,
833,ロドリゲス,,,,,,,,,,,
836,木村　文紀,,,,,,,,0.0,1.0,,
840,クロッタ,,,,,2.0,4.0,,,,,
841,ウエスト,,,0.0,,,,,,,,
842,八木　智哉,,,1.0,0.0,4.0,0.0,0.0,6.0,1.0,1.0,9.0
843,増渕　竜義,,,,,,,0.0,2.0,7.0,2.0,0.0
844,小山田　保裕,,,,,,,,,,,0.0
845,安部　建輝,,,,,0.0,0.0,0.0,,,,
846,コーク,,,2.0,,,,,,,,
847,バスケス,,,,0.0,3.0,,,,,,
848,オーレンドルフ,,,0.0,,,,,,,,
850,伊藤　義弘,,,,,0.0,1.0,1.0,0.0,1.0,1.0,2.0
851,正津　英志,,,,,,,,,,,0.0
853,石橋　良太,,,,0.0,,,,,,,
856,小杉　陽太,,,,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0
857,山本　省吾,,,,,,,0.0,1.0,2.0,8.0,9.0
859,ポレダ,,,,1.0,8.0,,,,,,
860,中崎　雄太,,,,,,,0.0,,,,
861,ピント,,,,,,,,1.0,,,
863,アッチソン,,,,,,,,,,,5.0
865,新垣　渚,,,,1.0,3.0,0.0,1.0,6.0,,,0.0
866,横山　貴明,,,,0.0,0.0,1.0,,,,,
869,岸本　秀樹,,,,,,,,0.0,3.0,1.0,
870,上野　貴久,,,,,,,,,,0.0,
871,屋宜　照悟,,,0.0,,2.0,,1.0,,,,
872,野村　亮介,,,,,0.0,,,,,,
874,金子　丈,,,,0.0,0.0,,,,,,
875,川井　雄太,,,,,,,,,5.0,1.0,11.0
876,豊田　清,,,,,,,,,2.0,1.0,2.0
877,コーコラン,,,,,,,1.0,,,,
878,ペレス,,,,2.0,,,,,,,
879,齊藤　勝,,,,,,0.0,0.0,,,,
880,前田　健太,,,,,15.0,11.0,15.0,14.0,10.0,15.0,8.0
882,濱田　達郎,,,,0.0,0.0,5.0,,,,,
883,木村　文和,,,,,,,,,,,0.0
884,島袋　洋奨,,,,,0.0,,,,,,
885,シュルツ,,,,,,,0.0,,0.0,0.0,5.0
886,ドーマン,,,,,,,,,,,0.0
889,運天　ジョン・クレイトン,,,,,,,,,0.0,,
891,上園　啓史,,,,,,0.0,0.0,0.0,,3.0,0.0
892,松本　輝,,,,,,,,,,0.0,0.0
900,バルデス,,,6.0,6.0,5.0,,,,,1.0,
901,岩隈　久志,,,,,,,,,6.0,10.0,13.0
903,青木　勇人,,,,,,,,,,0.0,0.0
904,金　無英,,,,0.0,,1.0,0.0,1.0,0.0,,0.0
