,登録名,チーム2018,勝利2018,勝利2017,勝利2016,勝利2015,勝利2014,勝利2013,勝利2012,勝利2011,勝利2010,勝利2009
292,齊藤　大将,西武,1.0,,,,,,,,,
408,スアレス,ソフトバンク,1.0,,2.0,,,,,,,
142,中塚　駿太,西武,0.0,0.0,,,,,,,,
159,金田　和之,オリックス,0.0,4.0,1.0,1.0,5.0,,,,,
758,高木　京介,巨人,0.0,,,1.0,0.0,3.0,2.0,,,
184,藤岡　貴裕,日本ハム,0.0,0.0,1.0,2.0,6.0,6.0,6.0,,,
767,上原　浩治,巨人,0.0,,,,,,,,,
109,白村　明弘,日本ハム,0.0,1.0,3.0,1.0,1.0,,,,,
768,濱矢　廣大,楽天,0.0,0.0,2.0,0.0,1.0,,,,,
118,西野　勇士,ロッテ,0.0,2.0,3.0,1.0,1.0,9.0,,,,
107,髙田　萌生,巨人,0.0,,,,,,,,,
119,松本　直晃,西武,0.0,,0.0,,,,,,,
167,森福　允彦,巨人,0.0,1.0,2.0,0.0,2.0,3.0,2.0,4.0,3.0,0.0
166,齋藤　綱記,オリックス,0.0,,0.0,,,,,,,
126,田村　丈,DeNA,0.0,,,,,,,,,
742,寺島　成輝,ヤクルト,0.0,0.0,,,,,,,,
131,田中　豊樹,日本ハム,0.0,0.0,0.0,,,,,,,
140,青山　大紀,オリックス,0.0,0.0,0.0,,,,,,,
150,笠原　大芽,ソフトバンク,0.0,0.0,,,,,,,,
745,山﨑　福也,オリックス,0.0,2.0,3.0,,,,,,,
746,中後　悠平,DeNA,0.0,,,,0.0,0.0,2.0,,,
781,小林　慶祐,オリックス,0.0,2.0,,,,,,,,
149,武藤　祐太,DeNA,0.0,,0.0,2.0,1.0,2.0,4.0,0.0,,
158,豊田　拓矢,西武,0.0,,0.0,0.0,2.0,,,,,
464,モレノ,阪神,0.0,,,,,,,,,
106,東明　大貴,オリックス,0.0,0.0,1.0,10.0,5.0,,,,,
101,望月　惇志,阪神,0.0,,0.0,,,,,,,
902,吉田　侑樹,日本ハム,0.0,2.0,,,,,,,,
899,岡田　俊哉,中日,0.0,0.0,3.0,0.0,3.0,7.0,,,,
13,マシソン,巨人,0.0,4.0,8.0,3.0,6.0,2.0,2.0,,,
20,平田　真吾,DeNA,0.0,0.0,0.0,0.0,0.0,,,,,
24,伊藤　和雄,阪神,0.0,0.0,0.0,,0.0,,0.0,,,
27,寺原　隼人,ソフトバンク,0.0,1.0,2.0,8.0,1.0,4.0,6.0,12.0,,2.0
888,佐藤　祥万,広島,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
29,新垣　勇人,日本ハム,0.0,0.0,0.0,1.0,0.0,0.0,,,,
33,山田　大樹,ヤクルト,0.0,1.0,1.0,,0.0,3.0,8.0,7.0,4.0,
36,石崎　剛,阪神,0.0,1.0,0.0,0.0,,,,,,
868,森原　康平,楽天,0.0,2.0,,,,,,,,
39,中澤　雅人,ヤクルト,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,7.0,
46,篠原　慎平,巨人,0.0,1.0,,,,,,,,
47,戸田　隆矢,広島,0.0,0.0,4.0,3.0,4.0,0.0,0.0,,,
53,岸田　護,オリックス,0.0,0.0,0.0,4.0,4.0,3.0,4.0,5.0,6.0,10.0
852,鍵谷　陽平,日本ハム,0.0,2.0,5.0,5.0,1.0,2.0,,,,
56,戸村　健次,楽天,0.0,2.0,1.0,7.0,0.0,4.0,3.0,0.0,0.0,
839,Ｋ－鈴木,オリックス,0.0,,,,,,,,,
73,沼田　拓巳,ヤクルト,0.0,,,,,,,,,
834,ウルキデス,ヤクルト,0.0,,,,,,,,,
832,長井　良太,広島,0.0,,,,,,,,,
828,中村　恭平,広島,0.0,,1.0,0.0,,1.0,0.0,0.0,,
81,チェン・グァンユウ,ロッテ,0.0,3.0,1.0,5.0,,,,,,
84,砂田　毅樹,DeNA,0.0,1.0,2.0,3.0,,,,,,
818,椎野　新,ソフトバンク,0.0,,,,,,,,,
99,南川　忠亮,西武,0.0,0.0,0.0,,,,,,,
811,シェッパーズ,ロッテ,0.0,,,,,,,,,
95,須田　幸太,DeNA,0.0,0.0,5.0,3.0,0.0,6.0,0.0,2.0,,
206,田中　正義,ソフトバンク,0.0,,,,,,,,,
721,宮台　康平,日本ハム,0.0,,,,,,,,,
711,大谷　智久,ロッテ,0.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,
354,尾仲　祐哉,阪神,0.0,1.0,,,,,,,,
568,比嘉　幹貴,オリックス,0.0,0.0,1.0,0.0,7.0,4.0,1.0,0.0,2.0,
355,大野　雄大,中日,0.0,7.0,7.0,11.0,10.0,10.0,4.0,0.0,,
558,カンポス,広島,0.0,,,,,,,,,
556,山本　翔也,阪神,0.0,0.0,0.0,1.0,0.0,,,,,
555,笠谷　俊介,ソフトバンク,0.0,0.0,,,,,,,,
551,関谷　亮太,ロッテ,0.0,2.0,5.0,,,,,,,
545,種市　篤暉,ロッテ,0.0,,,,,,,,,
370,佐野　泰雄,西武,0.0,3.0,1.0,0.0,,,,,,
375,田村　伊知郎,西武,0.0,0.0,,,,,,,,
378,マテオ,阪神,0.0,7.0,1.0,,,,,,,
392,ジー,中日,0.0,,,,,,,,,
395,三ツ間　卓也,中日,0.0,2.0,,,,,,,,
401,海田　智行,オリックス,0.0,0.0,1.0,2.0,0.0,2.0,0.0,,,
529,近藤　弘樹,楽天,0.0,,,,,,,,,
528,増田　達至,西武,0.0,1.0,3.0,2.0,3.0,5.0,,,,
412,清水　達也,中日,0.0,,,,,,,,,
416,今野　龍太,楽天,0.0,,,0.0,0.0,,,,,
425,髙橋　朋己,西武,0.0,0.0,1.0,,,,,,,
432,村中　恭兵,ヤクルト,0.0,0.0,7.0,,2.0,5.0,10.0,4.0,11.0,1.0
434,木下　雄介,中日,0.0,,,,,,,,,
436,福井　優也,広島,0.0,1.0,5.0,9.0,4.0,0.0,2.0,8.0,,
496,国吉　佑樹,DeNA,0.0,0.0,0.0,3.0,2.0,2.0,4.0,,,
495,館山　昌平,ヤクルト,0.0,0.0,1.0,6.0,,0.0,12.0,11.0,12.0,16.0
494,島本　浩也,阪神,0.0,,1.0,0.0,,,,,,
491,大山　暁史,オリックス,0.0,1.0,0.0,,0.0,,,,,
5,大隣　憲司,ロッテ,0.0,0.0,1.0,5.0,3.0,3.0,12.0,3.0,4.0,8.0
484,加賀　繁,DeNA,0.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,3.0,
483,高橋　礼,ソフトバンク,0.0,,,,,,,,,
342,アダメス,巨人,0.0,,,,,,,,,
578,中田　廉,広島,0.0,2.0,1.0,1.0,9.0,0.0,1.0,0.0,1.0,
339,田川　賢吾,ヤクルト,0.0,,,,,,,,,
678,小川　龍也,西武,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,
705,小野　郁,楽天,0.0,0.0,0.0,0.0,,,,,,
193,森　雄大,楽天,0.0,1.0,,0.0,2.0,,,,,
195,岩田　稔,阪神,0.0,3.0,0.0,8.0,9.0,2.0,8.0,9.0,,7.0
697,郭　俊麟,西武,0.0,,0.0,3.0,,,,,,
200,飯田　哲矢,広島,0.0,0.0,0.0,0.0,,,,,,
201,田島　慎二,中日,0.0,2.0,3.0,4.0,3.0,5.0,5.0,,,
462,松田　遼馬,ソフトバンク,0.0,1.0,1.0,3.0,0.0,1.0,,,,
215,本田　圭佑,西武,0.0,0.0,0.0,,,,,,,
685,福永　春吾,阪神,0.0,0.0,,,,,,,,
225,福谷　浩司,中日,0.0,1.0,1.0,3.0,2.0,0.0,,,,
237,成田　翔,ロッテ,0.0,0.0,,,,,,,,
680,斎藤　佑樹,日本ハム,0.0,1.0,0.0,1.0,2.0,0.0,5.0,6.0,,
240,守屋　功輝,阪神,0.0,0.0,0.0,,,,,,,
667,岩下　大輝,ロッテ,0.0,,,,,,,,,
581,菅原　秀,楽天,0.0,1.0,,,,,,,,
254,馬場　皐輔,阪神,0.0,,,,,,,,,
258,阿部　和成,ロッテ,0.0,0.0,0.0,1.0,,2.0,0.0,0.0,,
647,高橋　樹也,広島,0.0,0.0,,,,,,,,
259,相内　誠,西武,0.0,,,,,,,,,
628,五十嵐　亮太,ソフトバンク,0.0,6.0,0.0,3.0,1.0,3.0,,,,3.0
272,二保　旭,ソフトバンク,0.0,,,6.0,,0.0,,,,
281,渡邉　啓太,ロッテ,0.0,,,,,,,,,
294,西宮　悠介,楽天,0.0,1.0,3.0,1.0,3.0,,,,,
611,釜田　佳直,楽天,0.0,4.0,7.0,1.0,,1.0,7.0,,,
306,髙橋　聡文,阪神,0.0,6.0,3.0,,,,,,,
321,山本　哲哉,ヤクルト,0.0,0.0,,0.0,3.0,1.0,2.0,0.0,,
326,宮國　椋丞,巨人,0.0,1.0,4.0,3.0,1.0,6.0,6.0,,,
336,オルモス,ロッテ,0.0,,,,,,,,,
1,浅尾　拓也,中日,0.0,0.0,,1.0,1.0,2.0,1.0,7.0,12.0,7.0
0,井川　慶,,,,,,2.0,3.0,2.0,,,
2,西川　健太郎,,,,,1.0,,1.0,0.0,,,
3,ヘルメン,,,2.0,,,,,,,,
4,山本　斉,,,,,,,,,1.0,0.0,0.0
6,パディーヤ,,,,,,,3.0,,,,
8,香月　良仁,,,,0.0,1.0,0.0,1.0,1.0,,1.0,
9,鄭　凱文,,,,,,,0.0,0.0,1.0,,
10,眞下　貴之,,,,,,,,,1.0,0.0,
12,塹江　敦哉,,,,0.0,,,,,,,
15,綾部　翔,,,1.0,,,,,,,,
16,進藤　拓也,,,0.0,,,,,,,,
17,ユウキ,,,,,,,,,,0.0,5.0
19,渡邉　恒樹,,,,,,,,,,,0.0
21,川井　貴志,,,,0.0,0.0,1.0,3.0,2.0,1.0,3.0,0.0
26,キャンデラリオ,,,0.0,,,,,,,,
30,光原　逸裕,,,,,,,,,0.0,0.0,1.0
31,岩橋　慶侍,,,0.0,0.0,0.0,1.0,,,,,
32,ジェン,,,,,,,,,,0.0,1.0
34,武藤　好貴,,,,0.0,4.0,0.0,,0.0,,,
35,相原　和友,,,,0.0,0.0,0.0,,,,,
37,ミゲル・メヒア,,,,,0.0,,,,,,
38,横山　雄哉,,,1.0,2.0,0.0,,,,,,
42,馬原　孝浩,,,,,1.0,1.0,0.0,,1.0,5.0,4.0
43,植村　祐介,,,,,,,,1.0,,,0.0
44,アンソニー・カーター,,,,,,0.0,,,,,
45,ダース　ローマシュ匡,,,,,,,,,,0.0,
48,久保　康友,,,4.0,5.0,8.0,12.0,3.0,4.0,8.0,14.0,9.0
49,黒沢　翔太,,,0.0,0.0,0.0,0.0,,,,,
51,川崎　雄介,,,,,,,,,0.0,0.0,1.0
55,小野寺　力,,,,,,,,0.0,0.0,1.0,3.0
