ID,順位2018,選手名2018,チーム2018,防御率2018,試合2018,勝利2018,敗北2018,セlブ2018,ホlルド2018,勝率2018,打者2018,投球回2018,被安打2018,被本塁打2018,与四球2018,与死球2018,奪三振2018,失点2018,自責点2018,WHIP2018,DIPS2018
470,164,野村　祐輔,広島,4.38,15,6,3,0,0,0.667,384,90.1,101,9,20,2,46,48,44,1.34,4.13
607,164,カラシティー,ヤクルト,4.38,27,6,2,3,1,0.75,330,74.0,72,5,34,3,53,42,36,1.43,4.07
555,166,多和田　真三郎,西武,4.41,22,13,5,0,0,0.722,607,143.0,143,12,42,10,87,76,70,1.29,4.09
420,167,田中　靖洋,ロッテ,4.44,32,2,1,0,5,0.667,113,26.1,27,3,5,1,16,13,13,1.22,3.73
705,168,由規,ヤクルト,4.46,7,1,2,0,0,0.33299999999999996,155,34.1,34,4,20,1,37,17,17,1.57,4.31
370,169,有原　航平,日本ハム,4.47,19,8,4,2,1,0.667,443,104.2,113,17,15,5,85,56,52,1.22,4.18
195,170,カスティーヨ,西武,4.48,20,7,4,3,1,0.636,330,74.1,60,5,45,6,51,38,37,1.41,4.64
413,171,高梨　裕稔,日本ハム,4.50,18,5,7,0,0,0.41700000000000004,459,110.0,110,21,28,3,78,61,55,1.25,5.00
755,171,小熊　凌祐,中日,4.50,6,3,2,0,0,0.6,149,36.0,36,4,6,0,34,21,18,1.17,3.18
540,171,黒木　優太,オリックス,4.50,39,1,1,0,17,0.5,145,34.0,37,3,12,0,26,17,17,1.44,3.62
668,171,成田　翔,ロッテ,4.50,5,0,0,0,0,0.0,17,4.0,3,0,2,0,1,2,2,1.25,4.12
580,175,小野　泰己,阪神,4.52,18,7,4,0,0,0.636,448,99.2,100,6,63,3,73,52,50,1.64,4.39
351,176,武田　翔太,ソフトバンク,4.53,21,3,9,1,0,0.25,451,107.1,105,10,33,1,80,59,54,1.29,3.79
266,177,シェッパーズ,ロッテ,4.54,25,1,3,1,9,0.25,171,37.2,45,2,17,2,34,21,19,1.65,3.36
860,178,美馬　学,楽天,4.56,14,2,6,0,0,0.25,340,79.0,88,12,23,3,41,42,40,1.41,4.97
404,179,岩田　稔,阪神,4.58,4,0,3,0,0,0.0,77,17.2,16,3,6,2,18,11,9,1.25,4.48
563,180,バンデンハーク,ソフトバンク,4.61,20,9,7,0,0,0.563,512,119.0,99,18,55,10,113,63,61,1.29,4.78
481,181,藤平　尚真,楽天,4.64,10,3,5,0,0,0.375,251,54.1,49,9,37,3,49,31,28,1.58,5.62
301,181,澤村　拓一,巨人,4.64,49,1,6,0,24,0.14300000000000002,238,52.1,55,4,27,3,54,29,27,1.57,3.60
558,183,笠原　祥太郎,中日,4.65,16,3,3,0,0,0.5,352,79.1,79,10,35,5,68,42,41,1.44,4.52
149,183,岩瀬　仁紀,中日,4.65,41,1,0,2,9,1.0,126,31.0,26,2,6,4,23,16,16,1.03,3.44
164,185,ウルフ,西武,4.68,12,4,3,0,0,0.5710000000000001,259,59.2,78,9,14,1,35,37,31,1.54,4.66
631,186,戸田　隆矢,広島,4.70,3,0,0,0,0,0.0,37,7.2,7,0,7,0,6,4,4,1.83,4.29
772,186,杉浦　稔大,日本ハム,4.70,2,1,0,0,0,1.0,28,7.2,3,1,2,1,7,4,4,0.65,4.16
608,188,高野　圭佑,ロッテ,4.76,6,1,0,0,0,1.0,22,5.2,7,0,1,0,3,3,3,1.41,2.59
196,189,岡田　明丈,広島,4.78,22,7,6,0,0,0.5379999999999999,554,128.0,122,11,58,4,108,73,68,1.41,3.98
756,190,モイネロ,ソフトバンク,4.79,43,4,1,0,12,0.8,152,35.2,25,4,22,1,47,19,19,1.32,3.88
800,190,池田　駿,巨人,4.79,23,1,1,0,1,0.5,95,20.2,26,1,8,2,10,15,11,1.65,4.09
362,192,渡邉　啓太,ロッテ,4.82,6,0,1,0,0,0.0,129,28.0,37,2,10,0,12,18,15,1.68,4.26
402,193,岩崎　優,阪神,4.83,50,1,2,0,9,0.33299999999999996,226,50.1,55,8,22,3,58,30,27,1.53,4.25
482,194,山﨑　福也,オリックス,4.86,6,0,1,0,0,0.0,76,16.2,20,2,7,0,9,11,9,1.62,4.68
339,195,九里　亜蓮,広島,4.88,21,7,4,0,0,0.636,450,101.1,117,12,35,3,72,57,55,1.50,4.33
845,196,森原　康平,楽天,4.91,7,0,0,0,0,0.0,34,7.1,8,0,3,0,8,4,4,1.50,1.76
694,196,山本　哲哉,ヤクルト,4.91,3,0,0,0,0,0.0,18,3.2,5,1,1,0,0,2,2,1.64,7.48
93,198,田口　麗斗,巨人,4.95,15,2,7,0,0,0.222,367,80.0,104,13,26,6,54,50,44,1.63,5.01
121,199,野上　亮磨,巨人,4.96,21,4,4,0,1,0.5,277,65.1,69,14,21,2,48,36,36,1.38,5.40
506,200,古野　正人,ヤクルト,5.00,2,1,1,0,0,0.5,40,9.0,12,2,1,0,4,6,5,1.44,5.45
804,201,永川　勝浩,広島,5.06,19,1,0,0,5,1.0,71,16.0,18,2,4,1,12,10,9,1.38,4.18
883,201,大山　暁史,オリックス,5.06,6,0,0,0,0,0.0,24,5.1,8,0,1,0,4,3,3,1.69,2.18
337,201,青柳　晃洋,阪神,5.06,1,1,0,0,0,1.0,23,5.1,6,1,1,0,5,3,3,1.31,4.25
392,204,風張　蓮,ヤクルト,5.07,47,2,4,0,3,0.33299999999999996,213,49.2,46,11,20,1,53,30,28,1.33,5.13
137,205,岩下　大輝,ロッテ,5.11,14,0,2,0,6,0.0,59,12.1,15,0,7,1,7,8,7,1.78,3.93
129,206,石川　雅規,ヤクルト,5.12,19,6,5,0,0,0.545,427,96.2,106,16,35,4,69,63,55,1.46,5.05
441,207,松岡　健一,ヤクルト,5.14,13,1,0,0,0,1.0,70,14.0,15,1,9,2,13,11,8,1.71,4.55
325,207,スアレス,ソフトバンク,5.14,7,1,1,0,3,0.5,33,7.0,8,0,4,0,7,4,4,1.71,2.83
191,209,攝津　正,ソフトバンク,5.16,7,2,4,0,0,0.33299999999999996,134,29.2,28,7,18,1,23,19,17,1.55,6.56
233,210,中田　賢一,ソフトバンク,5.17,21,5,3,0,0,0.625,388,87.0,82,13,51,3,76,51,50,1.53,5.18
290,211,ウィーランド,DeNA,5.18,14,4,9,0,0,0.308,374,83.1,99,15,28,5,73,56,48,1.52,4.82
642,212,馬場　皐輔,阪神,5.19,2,0,1,0,0,0.0,41,8.2,12,2,4,1,7,5,5,1.85,6.24
271,213,ローチ,オリックス,5.24,8,1,1,0,0,0.5,154,34.1,44,1,9,5,14,22,20,1.54,3.91
620,214,藤岡　好明,DeNA,5.25,12,1,0,0,0,1.0,53,12.0,12,1,3,2,7,7,7,1.25,4.29
162,215,大谷　智久,ロッテ,5.26,42,0,3,0,18,0.0,172,37.2,45,8,15,1,31,22,22,1.59,5.27
632,216,今井　達也,西武,5.33,10,3,4,0,0,0.429,234,54.0,48,8,21,6,47,35,32,1.28,4.81
417,216,堀　瑞輝,日本ハム,5.33,5,2,2,0,0,0.5,116,27.0,26,6,10,2,17,16,16,1.33,6.08
700,218,今村　猛,広島,5.35,38,3,2,1,12,0.6,155,33.2,35,3,19,1,29,24,20,1.60,4.25
784,219,ハフ,ヤクルト,5.36,24,2,6,0,2,0.25,368,84.0,99,13,20,4,68,53,50,1.42,4.33
657,220,二保　旭,ソフトバンク,5.40,33,0,0,1,3,0.0,126,26.2,29,3,14,6,16,17,16,1.61,5.52
384,220,木下　雄介,中日,5.40,14,0,0,0,1,0.0,73,16.2,17,2,9,0,18,10,10,1.56,4.14
210,220,星　知弥,ヤクルト,5.40,14,1,0,0,0,1.0,68,15.0,14,4,11,0,13,9,9,1.67,7.05
330,220,関谷　亮太,ロッテ,5.40,2,0,0,0,0,0.0,21,5.0,5,0,1,0,2,3,3,1.20,2.92
554,224,石田　健大,DeNA,5.45,17,3,7,0,0,0.3,340,76.0,83,16,26,3,74,56,46,1.43,4.94
451,225,中川　皓太,巨人,5.58,23,1,0,1,1,1.0,138,30.2,41,6,7,1,22,22,19,1.57,5.01
118,226,種市　篤暉,ロッテ,5.68,4,0,1,0,0,0.0,83,19.0,20,1,8,0,14,12,12,1.47,3.59
643,227,柳　裕也,中日,5.70,9,2,5,0,0,0.28600000000000003,215,47.1,55,2,18,2,39,33,30,1.54,3.29
15,228,薮田　和樹,広島,5.74,9,2,1,0,0,0.667,134,26.2,28,4,32,1,18,22,17,2.25,7.43
311,229,カミネロ,巨人,5.79,20,1,1,11,2,0.5,90,18.2,27,1,6,1,19,13,12,1.77,2.75
543,230,武隈　祥太,西武,5.81,32,1,2,0,8,0.33299999999999996,121,26.1,30,4,15,3,19,18,17,1.71,5.59
188,231,池田　隆英,楽天,5.91,15,1,5,0,4,0.16699999999999998,206,42.2,60,4,21,0,24,33,28,1.90,4.55
182,232,菅原　秀,楽天,5.95,13,0,0,0,0,0.0,81,19.2,14,3,13,0,16,13,13,1.37,5.46
595,233,酒居　知史,ロッテ,5.97,13,2,5,0,0,0.28600000000000003,325,72.1,81,12,30,4,49,48,48,1.53,5.33
638,234,谷岡　竜平,巨人,6.00,24,2,1,0,2,0.667,113,24.0,25,1,16,0,23,17,16,1.71,3.50
283,234,松本　直晃,西武,6.00,23,0,0,0,1,0.0,111,24.0,29,3,10,1,16,16,16,1.63,4.79
