,登録名,チーム2018,奪三振2018,奪三振2017,奪三振2016,奪三振2015,奪三振2014,奪三振2013,奪三振2012,奪三振2011,奪三振2010,奪三振2009,総奪三振数,総奪三振率,総投球回
154,屋宜　照悟,,,0.0,,11.0,,3.0,,,,,14.0,0.4635761589403974,30.2
5,高木　啓充,,,,,,,,,,7.0,19.0,26.0,0.45614035087719296,57.0
582,竹下　真吾,,,,1.0,,,,,,,,1.0,0.45454545454545453,2.2
648,高木　晃次,,,,,,,,,,,5.0,5.0,0.45454545454545453,11.0
112,野村　亮介,,,,,1.0,,,,,,,1.0,0.45454545454545453,2.2
690,バレット,,,,,,,,,,,5.0,5.0,0.45045045045045046,11.1
181,清原　大貴,,,,,,,3.0,,1.0,,,4.0,0.4444444444444444,9.0
736,加藤　幹典,,,,,,,,,4.0,7.0,0.0,11.0,0.44,25.0
395,ヘーゲンズ,,,10.0,33.0,,,,,,,,43.0,0.43832823649337416,98.1
222,サンティアゴ,,,,,7.0,,,,,,,7.0,0.4320987654320988,16.2
486,松本　輝,,,,,,,,,,7.0,3.0,10.0,0.4310344827586207,23.2
172,ベイリス,,,,,,,,,,,6.0,6.0,0.42857142857142855,14.0
362,渡邉　啓太,ロッテ,12.0,,,,,,,,,,12.0,0.42857142857142855,28.0
135,コーコラン,,,,,,,14.0,,,,,14.0,0.4216867469879518,33.2
635,ワズディン,,,,,,,,,,,24.0,24.0,0.4195804195804196,57.2
893,青木　勇人,,,,,,,,,,4.0,10.0,14.0,0.4191616766467066,33.4
232,井坂　亮平,,,,,,,,,25.0,17.0,23.0,65.0,0.41854475209272374,155.3
511,吉田　侑樹,日本ハム,2.0,9.0,,,,,,,,,11.0,0.4166666666666667,26.4
365,ブラッドリー,,,,,,,22.0,,,,,22.0,0.4143126177024482,53.1
271,ローチ,オリックス,14.0,,,,,,,,,,14.0,0.4105571847507331,34.1
285,渡辺　俊介,,,,,,,9.0,22.0,43.0,63.0,74.0,211.0,0.4069431051108968,518.5
434,山中　浩史,ヤクルト,16.0,29.0,54.0,20.0,,11.0,,,,,130.0,0.4007398273736128,324.40000000000003
410,デラクルス,,,,,,,,,,4.0,,4.0,0.39603960396039606,10.1
512,ミッシュ,,,,2.0,,,,,,,,2.0,0.3921568627450981,5.1
225,井上　雄介,,,,,,,,3.0,,1.0,,4.0,0.3921568627450981,10.2
689,武内　久士,,,,,1.0,,8.0,,,1.0,,10.0,0.38314176245210724,26.1
310,シュリッター,,,23.0,,,,,,,,,23.0,0.3639240506329114,63.2
208,阿部　和成,ロッテ,2.0,1.0,6.0,11.0,,7.0,6.0,3.0,,,36.0,0.36217303822937624,99.4
630,杉山　直久,,,,,,,,,,3.0,1.0,4.0,0.3603603603603604,11.1
645,谷中　真二,,,,,,,,,,3.0,1.0,4.0,0.3603603603603604,11.1
752,黒沢　翔太,,,1.0,3.0,4.0,0.0,,,,,,8.0,0.33195020746887965,24.1
575,笠原　大芽,ソフトバンク,0.0,3.0,,,,,,,,,3.0,0.32967032967032966,9.1
600,吉原　正平,,,,,,3.0,,,,,,3.0,0.32967032967032966,9.1
760,フェルナンデス,,,,,,,,4.0,,,,4.0,0.3278688524590164,12.2
312,中崎　雄太,,,,,,,3.0,,,,,3.0,0.32608695652173914,9.2
538,ペニー,,,,,,,,1.0,,,,1.0,0.3225806451612903,3.1
612,渡邉　恒樹,,,,,,,,,,,1.0,1.0,0.3125,3.2
901,相原　和友,,,,1.0,1.0,5.0,,,,,,7.0,0.30303030303030304,23.1
372,光原　逸裕,,,,,,,,,3.0,0.0,3.0,6.0,0.28169014084507044,21.299999999999997
278,Ｋ－鈴木,オリックス,2.0,,,,,,,,,,2.0,0.28169014084507044,7.1
152,本柳　和也,,,,,,,,,,,2.0,2.0,0.25,8.0
357,松山　傑,,,,,,,,,,1.0,,1.0,0.25,4.0
783,加藤　正志,,,,0.0,3.0,,,,,,,3.0,0.2127659574468085,14.1
719,宮本　賢,,,,,,,,,,0.0,3.0,3.0,0.21126760563380284,14.2
714,レルー,,,,,,,,,1.0,,,1.0,0.2,5.0
280,セプティモ,,,,1.0,,,,,,,,1.0,0.1639344262295082,6.1
116,相沢　晋,,,,,1.0,,,,,,,1.0,0.14084507042253522,7.1
343,小林　雅英,,,,,,,,,0.0,2.0,,2.0,0.10989010989010989,18.2
723,仁藤　拓馬,,,,,,,,,,,0.0,0.0,0.0,1.0
727,運天　ジョン・クレイトン,,,,,,,,,0.0,,,0.0,0.0,1.0
869,高井　雄平,,,,,,,,,,,0.0,0.0,0.0,1.0
183,金伏　ウーゴ,,,,,0.0,,,,,,,0.0,0.0,1.0
111,山室　公志郎,,,,,,,,,,0.0,,0.0,0.0,2.0
859,小島　心二郎,,,,,,,,,,0.0,,0.0,0.0,2.0
856,上野　貴久,,,,,,,,,,0.0,,0.0,0.0,0.2
71,吉田　凌,,,0.0,,,,,,,,,0.0,0.0,2.2
815,カンポス,広島,0.0,,,,,,,,,,0.0,0.0,1.0
308,髙田　萌生,巨人,0.0,,,,,,,,,,0.0,0.0,2.0
655,ウエスト,,,0.0,,,,,,,,,0.0,0.0,2.0
541,広池　浩司,,,,,,,,,,0.0,,0.0,0.0,1.0
816,ビロウ,,,,,0.0,,,,,,,0.0,0.0,1.1
847,田村　丈,DeNA,0.0,,,,,,,,,,0.0,0.0,1.0
381,長井　良太,広島,0.0,,,,,,,,,,0.0,0.0,3.1
67,池ノ内　亮介,,,,,,0.0,,,,,,0.0,0.0,2.0
672,古川　祐樹,,,,,,,,,,,0.0,0.0,0.0,4.0
619,弦本　悠希,,,,,,,,,0.0,,,0.0,0.0,4.0
686,コズロースキー,,,,,,,,,,,0.0,0.0,0.0,0.1
155,ロドリゲス,,,,,,,,,,,,0.0,,0.0
